idnumber,Coder1_Action,Coder2_Action,Coder3_Social,Coder4_Social
1,1,1,1,1
2,1,1,1,1
3,1,1,0,NA
4,0,NA,1,1
5,0,0,1,1
6,0,0,NA,0
7,0,0,0,0
8,1,1,0,0
9,1,1,NA,0
10,1,NA,0,NA
11,0,1,1,1
12,1,1,1,1
13,1,1,NA,NA
14,1,1,1,1
16,1,1,0,0
19,0,0,0,0
20,0,1,0,0
21,0,NA,NA,0
22,1,1,1,1
23,0,0,0,0
25,0,0,0,0
26,1,1,1,1
27,1,1,NA,1
31,1,1,0,0
32,1,1,0,0
34,0,0,0,0
35,1,1,0,0
36,0,0,0,NA
37,1,1,0,1
39,0,0,0,0
41,0,0,0,0
42,0,0,0,0
44,0,0,0,0
46,1,1,0,0
47,1,1,1,1
48,0,0,0,0
50,1,1,1,0
51,NA,1,1,1
52,1,1,0,0
54,0,0,NA,1
55,1,1,0,0
56,1,1,1,1
57,0,1,0,0
58,0,0,0,0
60,0,0,1,1
62,1,1,0,0
63,1,1,0,NA
64,0,0,1,1
65,0,0,0,NA
66,0,1,1,1
67,0,0,0,NA
68,1,1,1,1
70,0,0,0,0
71,1,1,0,0
72,1,1,1,0
73,1,1,1,1
74,1,1,1,1
75,1,1,1,1
76,1,1,0,0
77,0,0,0,1
78,1,1,1,1
79,0,0,0,0
83,0,0,0,0
85,0,0,1,1
87,0,0,0,0
89,0,0,0,0
90,1,1,0,0
91,1,1,1,1
92,1,1,1,1
93,0,0,0,0
94,0,0,0,0
95,0,0,0,0
97,0,0,1,1
98,0,1,0,0
99,1,0,0,0
100,1,0,1,NA
101,0,0,1,1
102,0,0,NA,0
105,1,1,0,0
107,1,1,1,1
108,0,0,0,NA
109,0,1,1,1
110,1,1,0,0
111,0,0,0,0
112,0,0,0,0
114,1,1,1,1
116,0,0,0,0
117,1,1,0,0
118,1,NA,0,0
119,1,1,0,NA
120,1,NA,NA,NA
122,1,1,0,0
123,1,1,0,0
124,0,0,0,0
125,0,0,0,1
127,0,0,1,1
128,1,1,1,1
130,0,0,0,0
131,0,0,0,0
132,1,1,1,1
133,0,NA,1,1
134,0,0,0,0
135,0,0,0,0
136,0,0,0,0
137,0,0,0,0
138,0,0,0,0
140,1,1,0,0
142,1,1,1,1
143,0,0,0,0
144,1,0,0,0
145,0,0,0,0
146,0,0,0,0
147,0,0,0,0
148,1,1,0,0
149,1,1,0,NA
150,0,0,0,0
151,0,0,0,0
152,0,0,NA,0
153,0,0,0,0
154,1,1,1,1
155,0,0,0,0
156,0,0,1,1
157,0,0,0,0
158,0,0,0,0
159,0,0,1,1
160,1,0,0,0
161,1,1,1,1
162,0,1,1,1
163,0,0,0,0
164,0,0,0,0
165,1,1,1,NA
166,1,1,NA,NA
167,1,1,0,0
168,1,1,1,1
169,0,0,0,NA
170,0,0,0,0
171,1,1,NA,NA
172,1,1,0,0
173,0,0,0,0
174,0,0,0,0
175,0,0,0,0
176,0,0,0,0
178,0,0,0,0
179,1,1,0,0
180,1,1,1,1
181,1,1,1,1
182,1,1,0,0
183,1,1,1,1
186,1,1,1,1
187,0,0,0,NA
189,1,1,0,0
190,1,1,0,0
191,0,0,0,0
192,0,0,0,0
193,0,0,0,0
194,0,0,1,1
196,0,0,1,1
197,0,0,0,0
198,1,1,0,0
200,1,1,1,1
201,0,0,0,0
202,0,0,1,1
203,0,0,0,0
204,1,1,1,1
205,1,1,0,0
206,0,NA,1,1
208,0,0,0,0
210,0,0,0,0
213,1,1,1,1
216,1,1,0,0
217,1,1,1,1
219,NA,NA,1,1
220,1,1,1,1
222,1,1,0,0
223,1,1,1,1
224,1,1,0,0
225,0,0,1,1
226,0,0,0,0
227,1,1,1,1
228,1,0,0,0
230,0,0,0,0
232,1,1,0,0
234,0,0,1,1
235,0,1,0,0
236,1,1,0,0
238,1,1,1,1
240,0,0,1,1
241,0,0,0,0
242,1,1,0,0
243,1,1,1,1
244,1,1,0,0
246,1,NA,NA,1
248,1,1,0,0
251,1,1,1,1
252,0,0,1,1
253,0,0,1,1
254,0,0,1,1
255,0,0,1,1
256,1,1,0,0
257,1,1,0,0
258,0,0,0,0
259,0,0,0,0
260,0,0,0,0
261,1,1,1,1
262,0,0,0,0
264,1,1,0,0
266,1,0,0,0
267,0,0,0,0
269,0,0,1,1
270,1,0,1,1
271,1,1,0,0
273,0,0,1,1
274,0,0,0,0
277,0,1,1,1
278,0,0,1,1
279,0,NA,1,1
280,1,1,0,0
281,0,0,0,0
282,1,1,0,0
283,0,0,1,1
284,0,0,0,0
285,1,1,1,1
286,1,0,0,0
287,0,0,NA,0
288,0,0,0,0
289,1,1,0,0
290,1,1,0,0
291,0,1,1,1
293,0,0,1,1
294,0,0,0,0
296,0,0,0,0
297,0,0,0,0
299,0,0,0,0
300,0,0,0,0
301,0,0,0,0
302,1,1,1,1
303,0,0,0,0
304,1,0,0,0
305,0,0,1,1
306,1,1,1,1
307,1,1,0,0
308,1,1,1,1
310,0,0,0,0
312,0,0,0,0
313,1,0,0,0
314,0,0,0,0
316,1,1,1,1
318,0,0,0,0
319,0,0,0,1
320,0,0,0,NA
321,1,1,0,0
322,0,0,0,0
323,1,0,0,0
325,0,0,0,0
326,1,0,1,1
328,0,1,0,NA
330,1,1,0,0
332,1,1,1,1
334,0,0,NA,0
335,0,0,0,1
336,1,0,0,0
337,0,0,0,0
338,0,0,0,0
339,1,1,NA,1
340,1,1,0,0
341,0,0,1,NA
342,1,1,0,0
343,0,0,0,NA
344,1,1,0,0
345,1,1,0,0
347,1,0,1,1
348,0,0,0,0
350,0,0,NA,0
351,0,0,NA,0
353,1,1,1,1
354,0,0,0,NA
356,0,0,1,1
357,0,0,0,1
358,1,1,1,1
360,0,0,1,0
363,0,NA,NA,NA
365,0,0,0,0
366,0,0,0,0
367,1,1,1,1
368,0,0,1,1
370,1,1,0,0
371,0,0,1,1
372,1,1,1,1
373,0,0,0,0
375,0,1,0,0
378,0,0,1,1
379,1,1,1,1
380,1,1,0,0
382,1,1,NA,1
383,0,0,1,1
384,1,1,NA,1
385,0,0,1,1
387,0,0,1,1
388,1,1,0,0
391,1,1,1,1
394,1,1,0,0
395,0,0,0,0
397,0,0,1,1
398,0,NA,1,1
399,0,1,1,1
400,0,0,1,1
401,1,1,1,1
402,0,0,0,0
403,1,1,0,0
405,0,NA,0,0
406,0,0,1,1
408,1,1,1,1
409,1,1,1,NA
410,0,0,1,1
411,1,NA,NA,1
412,1,1,NA,1
413,0,0,0,0
415,0,0,1,0
416,1,1,1,0
417,0,0,1,1
418,0,0,0,0
419,0,0,0,0
422,0,0,0,0
425,1,1,NA,0
426,0,0,1,1
429,1,1,1,1
433,1,1,NA,1
434,1,1,NA,0
435,1,1,NA,NA
436,1,1,0,0
437,1,1,0,0
438,1,1,0,0
439,0,0,NA,1
444,1,1,0,NA
445,1,1,1,1
446,1,0,NA,NA
447,0,0,0,0
449,1,1,0,0
450,1,1,1,1
451,0,0,0,0
453,1,1,0,1
454,1,1,1,1
455,0,0,0,0
456,1,1,1,1
457,0,0,0,0
459,0,0,0,0
461,1,1,0,0
462,1,1,1,1
463,1,1,NA,NA
464,1,0,0,0
467,1,1,NA,0
468,0,0,0,0
469,0,0,0,0
470,1,1,0,0
472,1,1,1,1
473,1,1,0,0
474,0,0,0,0
475,1,1,0,0
476,1,1,NA,0
477,0,0,1,1
478,1,1,1,1
480,1,1,1,1
484,0,0,1,1
485,0,0,0,0
487,0,0,NA,1
488,0,0,0,0
489,0,0,0,0
490,0,0,1,0
491,0,0,0,0
492,0,0,0,0
493,0,0,0,0
494,0,0,1,1
496,0,1,0,0
497,1,1,0,0
498,1,1,0,0
499,0,0,1,0
500,1,1,0,0
501,0,0,0,0
502,0,0,0,0
503,0,0,NA,1
506,0,0,1,1
507,1,1,0,0
508,1,1,1,1
510,0,0,0,0
512,0,0,0,0
513,1,1,0,0
514,0,0,1,1
515,0,0,0,0
517,0,0,0,0
518,1,1,0,0
519,1,1,1,1
520,0,0,0,0
521,1,1,1,1
522,1,1,0,0
523,0,0,NA,1
524,1,1,0,0
525,0,0,1,1
527,1,1,NA,1
529,0,0,0,0
530,1,1,0,0
531,0,0,NA,1
532,1,1,0,0
535,1,1,1,1
536,0,0,0,0
537,0,0,1,1
538,1,1,0,0
539,1,1,1,1
540,0,0,1,1
541,1,1,1,1
542,1,1,NA,NA
543,1,1,0,0
544,0,0,0,0
546,0,0,0,0
549,1,0,0,0
550,1,1,0,0
551,0,0,0,0
552,0,0,0,0
555,0,0,0,0
556,0,0,0,0
557,0,0,0,0
558,0,0,0,0
559,1,1,1,1
560,1,1,1,1
561,1,1,0,0
562,0,0,1,1
563,1,1,1,1
564,1,1,0,0
565,1,1,0,0
566,0,0,1,0
567,0,0,0,0
568,0,0,0,0
569,0,0,1,1
570,0,0,0,0
571,1,1,1,1
573,1,1,0,0
574,1,1,0,0
577,1,1,NA,0
578,0,0,0,0
580,0,0,0,0
581,0,0,0,0
582,1,1,1,1
583,0,0,1,1
584,0,0,0,0
585,0,0,1,1
587,1,1,1,1
588,0,0,0,0
589,0,0,0,0
590,0,0,0,0
591,0,0,0,0
593,1,1,NA,0
594,0,0,1,1
596,0,0,0,0
597,0,0,1,1
598,0,0,0,0
599,0,0,0,0
600,1,1,NA,1
601,1,1,1,1
603,0,0,0,0
604,0,0,0,0
605,1,1,0,0
606,1,1,NA,0
607,1,1,NA,0
608,0,0,0,0
609,0,0,0,0
610,0,0,0,0
611,1,1,0,1
612,1,1,0,0
614,1,1,NA,NA
615,0,1,1,0
616,0,NA,0,0
617,1,1,1,1
618,1,1,0,0
620,0,0,NA,0
621,1,1,0,0
622,1,1,NA,1
623,1,1,1,1
624,0,0,1,0
625,1,1,0,0
627,0,0,0,0
628,1,1,0,0
630,1,1,0,0
631,0,0,0,0
632,1,1,1,1
633,0,0,1,1
634,0,0,0,0
635,1,1,0,0
636,1,1,1,1
638,0,0,NA,NA
639,0,0,0,0
641,1,1,0,0
642,1,1,1,1
645,0,0,0,0
646,0,0,1,1
647,0,0,1,1
648,1,1,0,0
650,1,0,NA,1
651,1,1,1,1
652,0,0,1,1
653,0,0,1,1
